id;state;provider;delivery_date;paid;full_payment
1;IN_CHARGE;Forward Operations;2020-08-13;5184;17652
2;SHIPPED;Wall customized Delaware;2020-08-13;33900;79817
3;IN_CHARGE;Computers;2020-08-12;64333;22689
4;IN_CHARGE;orchid supply-chains;2020-08-13;27594;31596
5;SHIPPED;programming;2020-08-12;4420;3267
6;SHIPPED;Down-sized Branch parsing;2020-08-13;73077;44224
7;IN_CHARGE;Macao reboot;2020-08-13;66146;33223
8;IN_CHARGE;Credit Card Account;2020-08-13;2944;1919
9;IN_CHARGE;streamline;2020-08-12;95184;82220
10;SHIPPED;redundant;2020-08-13;93741;58029
